SKU,PP ID,Description,List Price,Stock Oakville,Stock Mississauga,Stock Saskatoon,Part Type ID,Shop View ID,Sorting ID,Location ID,Visibility,Is Clearance,Interchange Numbers,Fitments,Image Source
SKU-201,,Front Bumper Assembly,350.00,10,5,2,1,12,14,BIN-A1,public,0,"IC-101,IC-102,IC-103,IC-104,IC-105","2015-2022|Toyota|Corolla,2016-2021|Honda|Civic,2010-2020|Ford|F-150,2014-2019|BMW|X5,2017-2023|Mazda|CX-5,2012-2024|Subaru|Outback","img/Parts/1.png,img/Parts/2.png,img/Parts/3.png,img/Parts/4.png,img/Parts/5.png"
SKU-202,,LED Headlight Left,450.00,5,3,0,2,11,14,BIN-B2,public,1,"HL-201,HL-202,HL-203,HL-204,HL-205","2018-2023|Honda|Civic,2019-2024|Toyota|Camry,2015-2022|Nissan|Rogue,2010-2020|Ford|Escape,2016-2021|Tesla|Model 3,2011-2018|Audi|A4","img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg"
SKU-203,,Mechanical Engine Part,1200.00,2,1,0,3,13,14,BIN-E1,public,0,"ENG-301,ENG-302,ENG-303,ENG-304,ENG-305","2010-2020|Ford|F-150,2011-2019|Chevrolet|Silverado,2012-2021|Ram|1500,2013-2022|GMC|Sierra,2014-2023|Toyota|Tundra,2015-2024|Nissan|Titan","img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg"
SKU-204,,Interior Trim Panel,85.00,15,10,5,4,12,18,BIN-I4,public,0,"TRIM-401,TRIM-402,TRIM-403,TRIM-404,TRIM-405","2014-2019|BMW|X5,2015-2020|Mercedes|GLE,2016-2021|Audi|Q7,2017-2022|Lexus|RX,2018-2023|Volvo|XC90,2019-2024|Porsche|Cayenne","img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png,img/Parts/3.png"
SKU-205,,Alloy Wheel Rim,280.00,8,4,2,5,11,15,BIN-W1,public,1,"WHL-501,WHL-502,WHL-503,WHL-504,WHL-505","2016-2021|Tesla|Model 3,2017-2022|Hyundai|Ioniq,2018-2023|Kia|EV6,2019-2024|Ford|Mach-E,2020-2025|VW|ID4,2021-2026|Lucid|Air","img/Parts/4.png,img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png"
SKU-206,,Side Mirror Cover,65.00,20,15,10,6,12,15,BIN-M2,public,0,"MIR-601,MIR-602,MIR-603,MIR-604,MIR-605","2012-2024|Subaru|Outback,2013-2023|Subaru|Forester,2014-2022|Subaru|Crosstrek,2015-2021|Subaru|Legacy,2016-2020|Subaru|WRX,2017-2019|Subaru|Impreza","img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg"
SKU-207,,Engine Gasket Set,150.00,12,8,4,3,11,14,BIN-G3,public,0,"GSK-701,GSK-702,GSK-703,GSK-704,GSK-705","2010-2024|Universal|Multi,2011-2023|General|Engines,2012-2022|Standard|Build,2013-2021|Common|Repair,2014-2020|Essential|Parts,2015-2019|Core|Systems","img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png"
SKU-208,,Leather Seat Cover,320.00,4,2,1,4,13,18,BIN-S1,public,0,"SEA-801,SEA-802,SEA-803,SEA-804,SEA-805","2015-2022|Nissan|Rogue,2016-2021|Nissan|Altima,2017-2023|Nissan|Sentra,2018-2024|Nissan|Murano,2019-2025|Nissan|Pathfinder,2020-2026|Nissan|Maxima","img/Parts/2.png,img/Parts/3.png,img/Parts/4.png,img/Parts/5.png,img/Parts/6.png"
SKU-209,,Performance Air Intake,195.00,6,4,2,7,12,14,BIN-P3,public,0,"AIR-901,AIR-902,AIR-903,AIR-904,AIR-905","2013-2019|Hyundai|Elantra,2014-2020|Kia|Optima,2015-2021|Hyundai|Sonata,2016-2022|Kia|Stinger,2017-2023|Hyundai|Veloster,2018-2024|Kia|Forte","img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg"
SKU-210,,Brake Pads Rear Set,95.00,25,20,15,3,12,17,BIN-B5,public,1,"BRK-001,BRK-002,BRK-003,BRK-004,BRK-005","2017-2023|Mazda|CX-5,2018-2024|Mazda|CX-30,2019-2025|Mazda|3,2020-2026|Mazda|6,2021-2027|Mazda|CX-9,2022-2028|Mazda|CX-50","img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg"
