SKU,Description,"List Price","Buy Price","Stock Oakville","Stock Mississauga","Stock Saskatoon","Part Type ID","Shop View ID","Sorting ID","Location ID",Visibility,"Is Clearance","Interchange Numbers",Fitments,"Image Source"
SKU-00001,"Product Description for SKU-00001 - High Quality Auto Part",73,43.8,31,15,32,1,1,1,BIN-82,public,0,"IC-6630,IC-5060",2010-2011|BMW|X5,"img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png"
SKU-00002,"Product Description for SKU-00002 - High Quality Auto Part",215,129,4,24,49,1,1,1,BIN-3,public,0,"IC-3707,IC-1834","2014-2016|BMW|3 SERIES","img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg"
SKU-00003,"Product Description for SKU-00003 - High Quality Auto Part",129,77.4,46,18,9,1,1,1,BIN-51,public,0,"IC-8165,IC-4318",2011-2015|HONDA|CIVIC,"img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg"
SKU-00004,"Product Description for SKU-00004 - High Quality Auto Part",263,157.8,24,18,27,1,1,1,BIN-57,public,0,"IC-4863,IC-1325","2013-2018|BMW|5 SERIES","img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png,img/Parts/3.png"
SKU-00005,"Product Description for SKU-00005 - High Quality Auto Part",201,120.6,50,3,47,1,1,1,BIN-99,public,0,"IC-5748,IC-7396",2018-2020|TOYOTA|CAMRY,"img/Parts/4.png,img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg"
SKU-00006,"Product Description for SKU-00006 - High Quality Auto Part",182,109.2,38,34,8,1,1,1,BIN-9,public,0,"IC-1902,IC-9920",2010-2011|FORD|F-150,"img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg"
SKU-00007,"Product Description for SKU-00007 - High Quality Auto Part",270,162,24,11,50,1,1,1,BIN-40,public,0,"IC-7170,IC-1460","2012-2017|BMW|3 SERIES","img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg"
SKU-00008,"Product Description for SKU-00008 - High Quality Auto Part",95,57,28,37,1,1,1,1,BIN-59,public,0,"IC-9964,IC-7738","2016-2020|BMW|3 SERIES","img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png"
SKU-00009,"Product Description for SKU-00009 - High Quality Auto Part",390,234,46,33,17,1,1,1,BIN-90,public,0,"IC-2847,IC-9460",2010-2015|HONDA|ACCORD,"img/Parts/3.png,img/Parts/4.png,img/Parts/5.png,img/Parts/6.png"
SKU-00010,"Product Description for SKU-00010 - High Quality Auto Part",399,239.4,35,33,35,1,1,1,BIN-46,public,0,"IC-6943,IC-3522",2010-2013|HONDA|CIVIC,"img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg"
SKU-00011,"Product Description for SKU-00011 - High Quality Auto Part",96,57.6,18,18,35,1,1,1,BIN-27,public,0,"IC-4037,IC-1500","2015-2018|BMW|3 SERIES","img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg"
SKU-00012,"Product Description for SKU-00012 - High Quality Auto Part",270,162,15,23,44,1,1,1,BIN-7,public,0,"IC-9166,IC-2864",2013-2017|FORD|F-150,"img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png"
SKU-00013,"Product Description for SKU-00013 - High Quality Auto Part",100,60,48,32,27,1,1,1,BIN-86,public,0,"IC-6404,IC-3731",2011-2014|FORD|EXPLORER,"img/Parts/2.png,img/Parts/3.png,img/Parts/4.png,img/Parts/5.png"
SKU-00014,"Product Description for SKU-00014 - High Quality Auto Part",267,160.2,12,5,25,1,1,1,BIN-65,public,0,"IC-5636,IC-3687","2011-2012|BMW|5 SERIES","img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg"
SKU-00015,"Product Description for SKU-00015 - High Quality Auto Part",348,208.8,49,32,33,1,1,1,BIN-11,public,0,"IC-8595,IC-5513",2014-2019|FORD|ESCAPE,"img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg"
SKU-00016,"Product Description for SKU-00016 - High Quality Auto Part",412,247.2,38,38,10,1,1,1,BIN-63,public,0,"IC-1299,IC-3330",2016-2017|CHEVROLET|EQUINOX,"img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg"
SKU-00017,"Product Description for SKU-00017 - High Quality Auto Part",296,177.6,18,47,43,1,1,1,BIN-3,public,0,"IC-8441,IC-2989",2013-2018|TOYOTA|CAMRY,"img/Parts/1.png,img/Parts/2.png,img/Parts/3.png,img/Parts/4.png"
SKU-00018,"Product Description for SKU-00018 - High Quality Auto Part",333,199.8,1,47,16,1,1,1,BIN-90,public,0,"IC-3032,IC-6626",2012-2014|TOYOTA|RAV4,"img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg,img/Parts/8.png"
SKU-00019,"Product Description for SKU-00019 - High Quality Auto Part",105,63,10,0,19,1,1,1,BIN-53,public,0,"IC-2948,IC-6216",2020-2025|BMW|X5,"img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg,img/Parts/12.jpg"
SKU-00020,"Product Description for SKU-00020 - High Quality Auto Part",240,144,39,23,40,1,1,1,BIN-70,public,0,"IC-6319,IC-2930",2016-2018|FORD|F-150,"img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg,img/Parts/16.jpg"
SKU-00021,"Product Description for SKU-00021 - High Quality Auto Part",240,144,34,4,22,1,1,1,BIN-42,public,0,"IC-1852,IC-1034",2017-2019|FORD|EXPLORER,"img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png,img/Parts/3.png"
SKU-00022,"Product Description for SKU-00022 - High Quality Auto Part",79,47.4,14,7,49,1,1,1,BIN-74,public,0,"IC-9438,IC-2656",2011-2013|FORD|F-150,"img/Parts/4.png,img/Parts/5.png,img/Parts/6.png,img/Parts/7.jpg"
SKU-00023,"Product Description for SKU-00023 - High Quality Auto Part",191,114.6,23,12,43,1,1,1,BIN-63,public,0,"IC-2979,IC-3589",2019-2022|FORD|F-150,"img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg,img/Parts/11.jpg"
SKU-00024,"Product Description for SKU-00024 - High Quality Auto Part",332,199.2,9,30,11,1,1,1,BIN-69,public,0,"IC-1059,IC-7703",2014-2015|FORD|ESCAPE,"img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg,img/Parts/15.jpg"
SKU-00025,"Product Description for SKU-00025 - High Quality Auto Part",237,142.2,2,38,46,1,1,1,BIN-37,public,0,"IC-4945,IC-7873","2010-2014|CHEVROLET|SILVERADO 1500","img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png,img/Parts/2.png"
SKU-00026,"Product Description for SKU-00026 - High Quality Auto Part",267,160.2,1,48,20,1,1,1,BIN-48,public,0,"IC-2273,IC-2649",2019-2024|FORD|ESCAPE,"img/Parts/3.png,img/Parts/4.png,img/Parts/5.png,img/Parts/6.png"
SKU-00027,"Product Description for SKU-00027 - High Quality Auto Part",402,241.2,25,44,23,1,1,1,BIN-63,public,0,"IC-2743,IC-6516",2020-2021|FORD|ESCAPE,"img/Parts/7.jpg,img/Parts/8.png,img/Parts/9.jpg,img/Parts/10.jpg"
SKU-00028,"Product Description for SKU-00028 - High Quality Auto Part",240,144,13,24,48,1,1,1,BIN-95,public,0,"IC-2961,IC-5978","2013-2018|BMW|3 SERIES","img/Parts/11.jpg,img/Parts/12.jpg,img/Parts/13.jpg,img/Parts/14.jpg"
SKU-00029,"Product Description for SKU-00029 - High Quality Auto Part",78,46.8,47,13,30,1,1,1,BIN-79,public,0,"IC-4400,IC-4506",2010-2011|TOYOTA|CAMRY,"img/Parts/15.jpg,img/Parts/16.jpg,img/Parts/17.jpg,img/Parts/1.png"
